^SPX (Standard & Poors 500 Index),2878.99,-16.78
Apr 09 2019 @ 11:09 ET,Bid,2878.64,Ask,2879.5,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/10/2019,SPXW190410C01700000,0,0,1173.1,1184.5,0,0,0.9996,0,0,1700.000,SPXW190410P01700000,0,0,0,0.05,0,2.6312,-0.0002,0,35
04/10/2019,SPXW190410C01800000,0,0,1072.5,1083.9,0,0,0.9996,0,0,1800.000,SPXW190410P01800000,0,0,0,0.05,0,2.3577,-0.0002,0,42
04/10/2019,SPXW190410C01850000,0,0,1022.6,1033.9,0,0,0.9992,0,0,1850.000,SPXW190410P01850000,0,0,0,0.05,0,2.2318,-0.0003,0,66
04/10/2019,SPXW190410C01900000,0,0,972.8,984.2,0,0,0.9996,0,0,1900.000,SPXW190410P01900000,0,0,0,0.05,0,2.0944,-0.0003,0,22
04/10/2019,SPXW190410C01950000,0,0,922.4,933.7,0,0,0.9967,0,0,1950.000,SPXW190410P01950000,0,0,0,0.05,0,1.9698,-0.0003,0,225
04/10/2019,SPXW190410C02000000,0,0,877.7,879.8,0,0,0.9997,0,1,2000.000,SPXW190410P02000000,0,0,0,0.05,0,1.8452,-0.0003,0,69
04/10/2019,SPXW190410C02050000,0,0,827.7,829.8,0,0,0.9997,0,0,2050.000,SPXW190410P02050000,0,0,0,0.05,0,1.7432,-0.0003,0,36
04/10/2019,SPXW190410C02100000,0,0,777.6,779.7,0,0,0.9997,0,0,2100.000,SPXW190410P02100000,0,0,0,0.05,0,1.6246,-0.0004,0,56
04/10/2019,SPXW190410C02150000,0,0,727.7,729.7,0,0,0.9998,0,0,2150.000,SPXW190410P02150000,0,0,0,0.05,0,1.501,-0.0003,0,10
04/10/2019,SPXW190410C02200000,0,0,677.7,679.8,0,0,0.9998,0,0,2200.000,SPXW190410P02200000,0,0,0,0.05,0,1.4067,-0.0004,0,19
04/10/2019,SPXW190410C02225000,0,0,652.8,654.9,0,1.126,0.9999,0,0,2225.000,SPXW190410P02225000,0,0,0,0.05,0,1.3447,-0.0004,0,21
04/10/2019,SPXW190410C02250000,0,0,627.8,629.9,0,0,0.9991,0,0,2250.000,SPXW190410P02250000,0,0,0,0.05,0,1.2882,-0.0004,0,11
04/10/2019,SPXW190410C02275000,0,0,602.6,604.7,0,0,0.9991,0,0,2275.000,SPXW190410P02275000,0,0,0,0.05,0,1.2345,-0.0005,0,18
04/10/2019,SPXW190410C02300000,0,0,577.8,579.9,0,0,0.9991,0,0,2300.000,SPXW190410P02300000,0,0,0,0.05,0,1.1885,-0.0005,0,317
04/10/2019,SPXW190410C02325000,0,0,552.6,554.8,0,0,0.9991,0,0,2325.000,SPXW190410P02325000,0,0,0,0.05,0,1.126,-0.0005,0,291
04/10/2019,SPXW190410C02350000,0,0,527.6,529.7,0,0,0.9991,0,0,2350.000,SPXW190410P02350000,0,0,0,0.05,0,1.0764,-0.0005,0,109
04/10/2019,SPXW190410C02375000,0,0,502.7,504.8,0,0,0.9991,0,0,2375.000,SPXW190410P02375000,0,0,0,0.05,0,1.0261,-0.0006,0,52
04/10/2019,SPXW190410C02390000,0,0,487.7,489.8,0,0,0.9991,0,1,2390.000,SPXW190410P02390000,0,0,0,0.05,0,0.9918,-0.0006,0,1
04/10/2019,SPXW190410C02400000,0,0,477.7,479.8,0,0,0.9991,0,0,2400.000,SPXW190410P02400000,0,0,0,0.05,0,0.9688,-0.0006,0,8
04/10/2019,SPXW190410C02410000,0,0,467.7,469.8,0,0,0.9991,0,0,2410.000,SPXW190410P02410000,0,0,0,0.05,0,0.9497,-0.0006,0,0
04/10/2019,SPXW190410C02420000,0,0,457.7,459.8,0,0,0.999,0,0,2420.000,SPXW190410P02420000,0,0,0,0.05,0,0.9264,-0.0006,0,11
04/10/2019,SPXW190410C02425000,0,0,452.7,454.8,0,0,0.9991,0,0,2425.000,SPXW190410P02425000,0,0,0,0.05,0,0.9162,-0.0006,0,295
04/10/2019,SPXW190410C02430000,0,0,447.7,449.8,0,0,0.9991,0,0,2430.000,SPXW190410P02430000,0,0,0,0.05,0,0.9069,-0.0006,0,30
04/10/2019,SPXW190410C02440000,0,0,437.7,439.8,0,0,0.9991,0,0,2440.000,SPXW190410P02440000,0,0,0,0.05,0,0.8858,-0.0006,0,30
04/10/2019,SPXW190410C02450000,0,0,427.7,429.8,0,0,0.9991,0,0,2450.000,SPXW190410P02450000,0,0,0,0.05,0,0.8669,-0.0006,0,34
